opening;Peace Sign;Yonezu Kenshi;80;22
opening;One Reason;Fade;95;50
ending;LET IT OUT;Fukuhara Miho;78;32
ending;Departures;EGOIST;73;41
ost;Unlimited Blade Works;;70;5
ost;Tsuna Awakens;;70;39
